FWT_CONS 
swl_list 	
swl_01_08 	CONS_CONS 	Fan: 	Fan: 	Fan: 	Fan: 	Fan:  	
swl_01_12 	CONS_CONS 	Fan: 	Fan: 	Fan: 	Fan: 	Fan:  	
swl_01_16 	CONS_CONS 	Fan: 	Fan: 	Fan: 	Fan: 	Fan:  	
swl_01_20 	CONS_CONS 	Fan: 	Fan: 	Fan: 	Fan: 	Fan:  	
swl_01_24 	CONS_CONS 	Fan: 	Fan: 	Fan: 	Fan: 	Fan:  	
swl_02_01 	CONS_CONS 	Fan: 	CONS	CONS	MAX	instructions 	
swl_02_02 	CONS_CONS 	Fan: 	CONS	CONS	MAX	instructions 	
swl_02_04 	CONS_CONS 	Fan: 	CONS	CONS	MAX	instructions 	
swl_02_08 	CONS_CONS 	Fan: 	CONS	CONS	MAX	instructions 	
swl_02_12 	CONS_CONS 	Fan: 	CONS	CONS	MAX	instructions 	
swl_02_16 	CONS_CONS 	Fan: 	CONS	CONS	MAX	instructions 	
swl_02_20 	CONS_CONS 	Fan: 	CONS	CONS	MAX	instructions 	
swl_02_24 	CONS_CONS 	Fan: 	CONS	CONS	MAX	instructions 	
swl_04_01 	CONS_CONS 	Fan: 	CONS	CONS	MAX	instructions 	
swl_04_02 	CONS_CONS 	Fan: 	CONS	CONS	MAX	instructions 	
swl_04_04 	CONS_CONS 	Fan: 	CONS	CONS	MAX	instructions 	
swl_04_08 	CONS_CONS 	Fan: 	CONS	CONS	MAX	instructions 	
swl_04_12 	CONS_CONS 	Fan: 	CONS	CONS	MAX	instructions 	
swl_04_16 	CONS_CONS 	Fan: 	CONS	CONS	MAX	instructions 	
swl_04_20 	CONS_CONS 	Fan: 	CONS	CONS	MAX	instructions 	
swl_04_24 	CONS_CONS 	Fan: 	CONS	CONS	MAX	instructions 	
swl_08_01 	CONS_CONS 	Fan: 	Fan: 	Fan: 	Fan: 	Fan:  	
swl_08_02 	CONS_CONS 	Fan: 	CONS	CONS	MAX	instructions 	
swl_08_04 	CONS_CONS 	Fan: 	CONS	CONS	MAX	instructions 	
