BLK 
swl_list 	Benchmarks 	IPC	Stall warps	Stall Dramfull	Stall icnt2sh	INS	RBL 	AVGEMFLat 	AVGEMRQLat 	App1-BW 	Waste-BW 	Idle-BW 	L2-Miss-Rate-1	L2-MPKI	
swl_list 	Benchmarks 	IPC	Stall warps	Stall Dramfull	Stall icnt2sh	INS	RBL 	AVGEMFLat 	AVGEMRQLat 	App1-BW 	Waste-BW 	Idle-BW 	L2-Miss-Rate-1	L2-MPKI	
swl_01 	JPEG 	58.6858 	1520 	1396 	1040 	7569408 	2.799673 	207 	7 	0.064 	0.1775 	0.757833333333333 	0.493 	1.085 	 	
swl_02 	JPEG 	108.9860 	6435 	1465 	1053 	7569408 	3.437668 	225 	9 	0.119333333333333 	0.237 	0.6435 	0.493 	1.085 	 	
swl_04 	JPEG 	192.3953 	20566 	1447 	1124 	7569408 	4.299246 	237 	21 	0.211 	0.293666666666667 	0.4955 	0.493 	1.085 	 	
swl_08 	JPEG 	281.3279 	41722 	1451 	1247 	7569408 	4.829567 	264 	39 	0.308333333333333 	0.274333333333333 	0.417666666666667 	0.493 	1.085 	 	
swl_12 	JPEG 	330.8018 	53745 	2976 	2504 	7569408 	4.852413 	304 	66 	0.362333333333333 	0.220833333333333 	0.416666666666667 	0.493 	1.085 	 	
swl_16 	JPEG 	320.9008 	84680 	12290 	1955 	7569408 	3.456199 	364 	84 	0.351666666666667 	0.251666666666667 	0.396666666666667 	0.493 	1.085 	 	
swl_20 	JPEG 	320.9008 	84680 	12290 	1955 	7569408 	3.456199 	364 	84 	0.351666666666667 	0.251666666666667 	0.396666666666667 	0.493 	1.085 	 	
swl_24 	JPEG 	320.9008 	84680 	12290 	1955 	7569408 	3.456199 	364 	84 	0.351666666666667 	0.251666666666667 	0.396666666666667 	0.493 	1.085 	 	



LPS 
swl_list 	Benchmarks 	IPC	Stall warps	Stall Dramfull	Stall icnt2sh	INS	RBL 	AVGEMFLat 	AVGEMRQLat 	App1-BW 	Waste-BW 	Idle-BW 	L2-Miss-Rate-1	L2-MPKI	
swl_01 	LPS 	55.8795 	84118 	739 	31927 	72711744 	3.217858 	225 	9 	0.081 	0.2095 	0.7095 	0.408 	1.007 	 	
swl_02 	LPS 	105.9049 	161416 	1055 	77455 	72711744 	2.603990 	238 	16 	0.154 	0.3615 	0.484333333333333 	0.407 	1.002 	 	
swl_04 	LPS 	190.1512 	183673 	3421 	134032 	72711744 	2.837179 	268 	47 	0.2625 	0.44 	0.2975 	0.379 	0.929 	 	
swl_08 	LPS 	296.5454 	208078 	39977 	201709 	72711744 	2.884901 	303 	61 	0.400333333333333 	0.447833333333333 	0.151666666666667 	0.368 	0.908 	 	
swl_12 	LPS 	365.6282 	274445 	126664 	297035 	72711744 	3.804155 	376 	100 	0.481166666666667 	0.382 	0.136833333333333 	0.355 	0.877 	 	
swl_16 	LPS 	409.9577 	343452 	198554 	310641 	72711744 	4.377616 	415 	107 	0.541833333333333 	0.4155 	0.043 	0.351 	0.863 	 	
swl_20 	LPS 	409.9577 	343452 	198554 	310641 	72711744 	4.377616 	415 	107 	0.541833333333333 	0.4155 	0.043 	0.351 	0.863 	 	
swl_24 	LPS 	409.9577 	343452 	198554 	310641 	72711744 	4.377616 	415 	107 	0.541833333333333 	0.4155 	0.043 	0.351 	0.863 	 	



